id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
column_0001,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,0.0,0.0,-2875.0,4250.0,4250.0
column_0002,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,4250.0,0.0,-2875.0,8500.0,4250.0
column_0003,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,8500.0,0.0,-2875.0,12750.0,4250.0
column_0004,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,-2875.0,12750.0,0.0,-2875.0,17000.0,4250.0
column_0005,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,0.0,0.0,2875.0,4250.0,4250.0
column_0006,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,4250.0,0.0,2875.0,8500.0,4250.0
column_0007,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,8500.0,0.0,2875.0,12750.0,4250.0
column_0008,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z1,alternating-x,0.0,2875.0,12750.0,0.0,2875.0,17000.0,4250.0
deck_cross_beam_0001,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:Z1,double-side-cantilever,0.0,-2200.0,17000.0,0.0,2700.0,17000.0,4900.0
transverse_column_brace_0001,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z1,alternating-x,0.0,-2875.0,0.0,0.0,2875.0,17000.0,17946.099855
transverse_column_brace_0002,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z1,alternating-x,0.0,2875.0,0.0,0.0,-2875.0,17000.0,17946.099855
column_0009,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,0.0,12000.0,-2875.0,4538.867145,4538.867145
column_0010,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,4538.867145,12000.0,-2875.0,9077.734289,4538.867145
column_0011,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,9077.734289,12000.0,-2875.0,13616.601434,4538.867145
column_0012,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,-2875.0,13616.601434,12000.0,-2875.0,18155.468578,4538.867145
column_0013,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,0.0,12000.0,2875.0,4538.867145,4538.867145
column_0014,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,4538.867145,12000.0,2875.0,9077.734289,4538.867145
column_0015,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,9077.734289,12000.0,2875.0,13616.601434,4538.867145
column_0016,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z2,alternating-x,12000.0,2875.0,13616.601434,12000.0,2875.0,18155.468578,4538.867145
deck_cross_beam_0002,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:Z2,double-side-cantilever,12000.0,-2200.0,18155.468578,12000.0,2700.0,18155.468578,4900.0
transverse_column_brace_0003,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z2,alternating-x,12000.0,-2875.0,0.0,12000.0,2875.0,18155.468578,19044.252133
transverse_column_brace_0004,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z2,alternating-x,12000.0,2875.0,0.0,12000.0,-2875.0,18155.468578,19044.252133
column_0017,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,0.0,24000.0,-2875.0,4827.734289,4827.734289
column_0018,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,4827.734289,24000.0,-2875.0,9655.468578,4827.734289
column_0019,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,9655.468578,24000.0,-2875.0,14483.202868,4827.734289
column_0020,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,-2875.0,14483.202868,24000.0,-2875.0,19310.937157,4827.734289
column_0021,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,0.0,24000.0,2875.0,4827.734289,4827.734289
column_0022,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,4827.734289,24000.0,2875.0,9655.468578,4827.734289
column_0023,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,9655.468578,24000.0,2875.0,14483.202868,4827.734289
column_0024,column,柱子,ZJ8_COLUMN,8,HM-240x240,Z3,alternating-x,24000.0,2875.0,14483.202868,24000.0,2875.0,19310.937157,4827.734289
deck_cross_beam_0003,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:Z3,double-side-cantilever,24000.0,-2200.0,19310.937157,24000.0,2700.0,19310.937157,4900.0
transverse_column_brace_0005,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z3,alternating-x,24000.0,-2875.0,0.0,24000.0,2875.0,19310.937157,20148.81619
transverse_column_brace_0006,transverse_column_brace,横向柱间支撑,ZJ8_TRANSVERSE_BRACE,1,L90x90,P1_0_30000:Z3,alternating-x,24000.0,2875.0,0.0,24000.0,-2875.0,19310.937157,20148.81619
cantilever_edge_beam_0001,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,START_CANTILEVER,double-side-cantilever,-1400.0,-2200.0,16865.195333,0.0,-2200.0,17000.0,1406.475133
cantilever_edge_beam_0002,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,START_CANTILEVER,double-side-cantilever,-1400.0,2700.0,16865.195333,0.0,2700.0,17000.0,1406.475133
deck_main_beam_0001,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,-2875.0,17000.0,3000.0,-2875.0,17288.867145,3013.875284
deck_main_beam_0002,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,-2875.0,17288.867145,6000.0,-2875.0,17577.734289,3013.875284
